ID,Пол,Возраст,День недели,Потраченная сумма,Время покупки
1,Женский,35,Вторник,916.65,13:24:00
2,Мужской,18,Четверг,50.0,18:19:00
3,Женский,10,Пятница,50.0,15:08:00
4,Мужской,10,Среда,66.86,15:22:00
5,Мужской,24,Суббота,102.29,11:37:00
6,Женский,52,Пятница,948.42,09:22:00
7,Мужской,23,Суббота,762.02,13:13:00
8,Мужской,10,Воскресенье,1159.71,14:36:00
9,Женский,30,Среда,1215.96,15:28:00
10,Женский,23,Четверг,387.73,15:15:00
11,Женский,34,Пятница,1068.28,11:06:00
12,Мужской,22,Воскресенье,602.62,21:16:00
13,Мужской,15,Воскресенье,529.14,17:39:00
14,Мужской,24,Суббота,277.24,12:40:00
15,Мужской,22,Пятница,887.81,10:45:00
16,Женский,53,Среда,961.15,10:57:00
17,Женский,38,Среда,2053.1,10:35:00
18,Женский,44,Воскресенье,401.29,10:05:00
19,Женский,24,Пятница,608.61,19:23:00
20,Мужской,31,Четверг,1842.44,15:09:00
21,Женский,19,Пятница,447.14,16:04:00
22,Мужской,41,Четверг,604.74,16:59:00
23,Мужской,21,Пятница,1564.92,18:12:00
24,Женский,32,Четверг,436.13,12:28:00
25,Мужской,22,Суббота,1101.0,20:04:00
26,Женский,39,Воскресенье,924.26,20:44:00
27,Женский,49,Среда,1013.72,11:02:00
28,Мужской,30,Суббота,1338.3,21:28:00
29,Женский,47,Суббота,586.83,17:35:00
30,Мужской,38,Воскресенье,1004.67,13:45:00
31,Мужской,41,Воскресенье,1660.88,17:42:00
32,Мужской,45,Понедельник,1577.39,18:36:00
33,Мужской,34,Пятница,622.62,11:07:00
34,Мужской,32,Понедельник,534.4,18:33:00
35,Женский,10,Пятница,876.45,19:43:00
36,Женский,20,Понедельник,465.77,12:02:00
37,Женский,35,Понедельник,1238.96,12:53:00
38,Мужской,65,Понедельник,1986.41,13:45:00
39,Женский,41,Воскресенье,278.15,13:36:00
40,Мужской,22,Среда,1239.18,13:12:00
41,Женский,41,Четверг,1037.31,16:17:00
42,Мужской,56,Четверг,1689.11,13:20:00
43,Женский,23,Воскресенье,690.45,16:31:00
44,Женский,44,Четверг,1191.56,19:57:00
45,Женский,43,Четверг,1845.8,17:51:00
46,Женский,22,Понедельник,1303.46,13:17:00
47,Женский,26,Суббота,1176.39,10:56:00
48,Женский,13,Четверг,91.24,19:06:00
49,Женский,42,Суббота,83.05,17:19:00
50,Мужской,50,Среда,1427.54,15:46:00
51,Мужской,28,Среда,1210.04,17:16:00
52,Женский,45,Среда,369.86,15:39:00
53,Мужской,35,Среда,154.12,21:42:00
54,Мужской,34,Суббота,278.91,14:54:00
55,Женский,28,Среда,456.67,10:44:00
56,Мужской,30,Суббота,507.19,18:58:00
57,Женский,29,Суббота,841.15,17:56:00
58,Мужской,40,Пятница,1610.84,18:49:00
59,Мужской,42,Воскресенье,1660.51,13:08:00
60,Мужской,37,Понедельник,896.39,11:36:00
61,Мужской,50,Четверг,845.68,15:26:00
62,Мужской,22,Четверг,318.21,19:35:00
63,Мужской,36,Понедельник,757.39,13:31:00
64,Женский,25,Среда,316.73,12:33:00
